Episode,Total Reward,Epsilon,Replay Buffer Size,Learn Step Counter,Times
262,296.0,0.1,34304,136720,2025-04-02 01:51:35
263,1486.0,0.1,34496,137552,2025-04-02 01:51:58
264,2040.0,0.1,34752,138688,2025-04-02 01:52:32
265,1388.0,0.1,34944,139428,2025-04-02 01:52:53
266,1936.0,0.1,35200,140300,2025-04-02 01:53:21
267,1081.0,0.1,35392,141152,2025-04-02 01:53:48
268,1259.0,0.1,35584,141808,2025-04-02 01:54:13
269,914.0,0.1,35712,142388,2025-04-02 01:54:33
270,539.0,0.1,35840,142904,2025-04-02 01:54:50
271,289.0,0.1,35840,143028,2025-04-02 01:54:54
272,297.0,0.1,35904,143140,2025-04-02 01:54:58
273,241.0,0.1,35904,143276,2025-04-02 01:55:02
274,1134.0,0.1,36096,144052,2025-04-02 01:55:28
275,299.0,0.1,36160,144176,2025-04-02 01:55:32
276,909.0,0.1,36288,144876,2025-04-02 01:55:53
277,859.0,0.1,36480,145572,2025-04-02 01:56:13
278,617.0,0.1,36544,145860,2025-04-02 01:56:21
279,237.0,0.1,36608,145988,2025-04-02 01:56:24
280,698.0,0.1,36672,146300,2025-04-02 01:56:34
281,1147.0,0.1,36800,146796,2025-04-02 01:56:49
282,1116.0,0.1,36992,147672,2025-04-02 01:57:12
283,680.0,0.1,37120,147976,2025-04-02 01:57:20
284,714.0,0.1,37184,148332,2025-04-02 01:57:30
285,676.0,0.1,37248,148640,2025-04-02 01:57:40
286,611.0,0.1,37312,148888,2025-04-02 01:57:49
287,242.0,0.1,37376,149028,2025-04-02 01:57:54
288,611.0,0.1,37440,149268,2025-04-02 01:58:01
289,287.0,0.1,37440,149420,2025-04-02 01:58:07
290,248.0,0.1,37504,149556,2025-04-02 01:58:12
291,250.0,0.1,37504,149664,2025-04-02 01:58:15
292,750.0,0.1,37632,150020,2025-04-02 01:58:28
293,247.0,0.1,37632,150156,2025-04-02 01:58:33
294,1113.0,0.1,37824,150876,2025-04-02 01:58:54
295,1510.0,0.1,38080,151876,2025-04-02 01:59:21
296,966.0,0.1,38208,152424,2025-04-02 01:59:35
297,839.0,0.1,38336,152992,2025-04-02 01:59:54
298,637.0,0.1,38464,153344,2025-04-02 02:00:05
299,683.0,0.1,38528,153720,2025-04-02 02:00:17
300,237.0,0.1,38592,153872,2025-04-02 02:00:22
301,1230.0,0.1,38784,154732,2025-04-02 02:00:51
302,1137.0,0.1,38976,155460,2025-04-02 02:01:22
303,815.0,0.1,39104,155904,2025-04-02 02:01:39
304,1189.0,0.1,39232,156576,2025-04-02 02:02:02
305,682.0,0.1,39360,156928,2025-04-02 02:02:14
306,643.0,0.1,39424,157344,2025-04-02 02:02:28
307,916.0,0.1,39552,157896,2025-04-02 02:02:47
308,289.0,0.1,39616,158032,2025-04-02 02:02:52
309,658.0,0.1,39680,158320,2025-04-02 02:03:02
310,2215.0,0.1,39936,159392,2025-04-02 02:03:39
311,661.0,0.1,40000,159708,2025-04-02 02:03:52
312,687.0,0.1,40192,160320,2025-04-02 02:04:17
313,1517.0,0.1,40384,161172,2025-04-02 02:04:40
314,299.0,0.1,40448,161292,2025-04-02 02:04:44
315,659.0,0.1,40512,161588,2025-04-02 02:04:54
316,1377.0,0.1,40640,162272,2025-04-02 02:05:15
317,658.0,0.1,40768,162584,2025-04-02 02:05:24
318,239.0,0.1,40768,162704,2025-04-02 02:05:28
319,1377.0,0.1,40960,163456,2025-04-02 02:05:52
320,614.0,0.1,41024,163800,2025-04-02 02:06:03
321,295.0,0.1,41088,163920,2025-04-02 02:06:06
322,297.0,0.1,41088,164044,2025-04-02 02:06:10
323,249.0,0.1,41152,164192,2025-04-02 02:06:15
324,679.0,0.1,41216,164524,2025-04-02 02:06:24
325,613.0,0.1,41344,164912,2025-04-02 02:06:32
326,1129.0,0.1,41536,165728,2025-04-02 02:06:50
327,707.0,0.1,41600,166028,2025-04-02 02:06:56
328,246.0,0.1,41664,166164,2025-04-02 02:06:59
329,243.0,0.1,41664,166304,2025-04-02 02:07:02
330,1187.0,0.1,41856,166964,2025-04-02 02:07:16
331,667.0,0.1,41920,167376,2025-04-02 02:07:25
332,236.0,0.1,41984,167516,2025-04-02 02:07:29
333,1202.0,0.1,42176,168192,2025-04-02 02:07:43
334,1091.0,0.1,42304,168924,2025-04-02 02:08:00
335,1084.0,0.1,42560,169724,2025-04-02 02:08:19
336,1535.0,0.1,42752,170564,2025-04-02 02:08:40
337,864.0,0.1,42880,171160,2025-04-02 02:08:55
338,300.0,0.1,42944,171268,2025-04-02 02:08:57
339,1475.0,0.1,43136,172080,2025-04-02 02:09:17
340,2255.0,0.1,43392,173068,2025-04-02 02:09:43
341,-423.0,0.1,43776,174580,2025-04-02 02:10:19
342,-156.0,0.1,44032,175728,2025-04-02 02:10:45
343,1237.0,0.1,44224,176468,2025-04-02 02:11:03
344,816.0,0.1,44352,177024,2025-04-02 02:11:16
345,672.0,0.1,44416,177360,2025-04-02 02:11:25
346,300.0,0.1,44480,177468,2025-04-02 02:11:27
347,1380.0,0.1,44736,178500,2025-04-02 02:11:53
348,290.0,0.1,44736,178616,2025-04-02 02:11:56
349,703.0,0.1,44800,178900,2025-04-02 02:12:03
350,962.0,0.1,45120,180168,2025-04-02 02:12:37
351,250.0,0.1,45184,180276,2025-04-02 02:12:39
352,1428.0,0.1,45312,180880,2025-04-02 02:12:55
353,1511.0,0.1,45504,181740,2025-04-02 02:13:17
354,638.0,0.1,45632,182036,2025-04-02 02:13:25
355,232.0,0.1,45632,182192,2025-04-02 02:13:28
356,780.0,0.1,45760,182716,2025-04-02 02:13:41
357,1046.0,0.1,45888,183236,2025-04-02 02:13:53
358,3079.0,0.1,46272,184804,2025-04-02 02:14:30
359,1492.0,0.1,46464,185464,2025-04-02 02:14:45
360,686.0,0.1,46528,185832,2025-04-02 02:14:54
361,659.0,0.1,46656,186096,2025-04-02 02:15:00
362,718.0,0.1,46720,186376,2025-04-02 02:15:06
363,1954.0,0.1,46976,187424,2025-04-02 02:15:31
364,1138.0,0.1,47104,188060,2025-04-02 02:15:46
365,864.0,0.1,47232,188648,2025-04-02 02:16:01
366,620.0,0.1,47360,188980,2025-04-02 02:16:09
367,1409.0,0.1,47616,189984,2025-04-02 02:16:34
368,1884.0,0.1,47808,190840,2025-04-02 02:16:54
369,1333.0,0.1,48000,191680,2025-04-02 02:17:13
370,624.0,0.1,48128,192064,2025-04-02 02:17:22
371,234.0,0.1,48128,192200,2025-04-02 02:17:25
372,832.0,0.1,48384,193260,2025-04-02 02:17:51
373,286.0,0.1,48448,193392,2025-04-02 02:17:54
374,866.0,0.1,48576,193944,2025-04-02 02:18:08
375,1436.0,0.1,48832,194804,2025-04-02 02:18:29
376,300.0,0.1,48832,194920,2025-04-02 02:18:32
377,915.0,0.1,48960,195492,2025-04-02 02:18:46
378,285.0,0.1,49024,195644,2025-04-02 02:18:50
379,682.0,0.1,49088,195996,2025-04-02 02:18:59
380,250.0,0.1,49152,196124,2025-04-02 02:19:02
381,296.0,0.1,49152,196236,2025-04-02 02:19:05
382,688.0,0.1,49408,197112,2025-04-02 02:19:27
383,1440.0,0.1,49536,197792,2025-04-02 02:19:44
384,1376.0,0.1,49728,198472,2025-04-02 02:20:01
385,1669.0,0.1,49984,199436,2025-04-02 02:20:25
386,296.0,0.1,49984,199552,2025-04-02 02:20:28
387,248.0,0.1,50048,199676,2025-04-02 02:20:31
388,775.0,0.1,50112,200136,2025-04-02 02:20:43
389,1427.0,0.1,50304,200924,2025-04-02 02:21:03
390,1536.0,0.1,50496,201668,2025-04-02 02:21:22
391,670.0,0.1,50624,202028,2025-04-02 02:21:32
392,674.0,0.1,50688,202356,2025-04-02 02:21:40
393,302.0,0.1,50752,202488,2025-04-02 02:21:43
394,234.0,0.1,50752,202620,2025-04-02 02:21:47
395,684.0,0.1,50816,202920,2025-04-02 02:21:54
396,282.0,0.1,50880,203056,2025-04-02 02:21:58
397,652.0,0.1,50944,203364,2025-04-02 02:22:05
398,1149.0,0.1,51136,204076,2025-04-02 02:22:22
399,296.0,0.1,51136,204208,2025-04-02 02:22:25
400,1465.0,0.1,51328,204992,2025-04-02 02:22:44
401,286.0,0.1,51392,205132,2025-04-02 02:22:48
402,1147.0,0.1,51520,205660,2025-04-02 02:23:01
403,1715.0,0.1,51776,206580,2025-04-02 02:23:24
404,674.0,0.1,51840,206960,2025-04-02 02:23:34
405,1187.0,0.1,52032,207612,2025-04-02 02:23:50
406,681.0,0.1,52096,207960,2025-04-02 02:23:59
407,1094.0,0.1,52224,208564,2025-04-02 02:24:14
408,243.0,0.1,52288,208692,2025-04-02 02:24:17
409,736.0,0.1,52352,209028,2025-04-02 02:24:26
410,672.0,0.1,52416,209376,2025-04-02 02:24:35
411,236.0,0.1,52480,209528,2025-04-02 02:24:38
412,241.0,0.1,52544,209656,2025-04-02 02:24:41
413,297.0,0.1,52544,209788,2025-04-02 02:24:45
414,1393.0,0.1,52736,210504,2025-04-02 02:25:01
415,661.0,0.1,52800,210828,2025-04-02 02:25:08
416,666.0,0.1,52928,211292,2025-04-02 02:25:17
417,1473.0,0.1,53120,212056,2025-04-02 02:25:31
418,250.0,0.1,53120,212184,2025-04-02 02:25:34
419,683.0,0.1,53248,212616,2025-04-02 02:25:42
420,826.0,0.1,53376,213216,2025-04-02 02:25:53
421,1579.0,0.1,53760,214600,2025-04-02 02:26:20
422,856.0,0.1,53952,215352,2025-04-02 02:26:35
423,1720.0,0.1,54144,216240,2025-04-02 02:26:52
424,1390.0,0.1,54336,216972,2025-04-02 02:27:05
425,689.0,0.1,54400,217264,2025-04-02 02:27:11
426,731.0,0.1,54528,217624,2025-04-02 02:27:17
427,1830.0,0.1,54720,218360,2025-04-02 02:27:31
428,1186.0,0.1,54848,219012,2025-04-02 02:27:43
429,1471.0,0.1,55040,219776,2025-04-02 02:27:57
430,230.0,0.1,55104,219916,2025-04-02 02:28:00
431,297.0,0.1,55104,220048,2025-04-02 02:28:02
432,1061.0,0.1,55296,220868,2025-04-02 02:28:17
433,241.0,0.1,55360,220992,2025-04-02 02:28:20
434,1401.0,0.1,55552,221692,2025-04-02 02:28:33
435,1041.0,0.1,55680,222380,2025-04-02 02:28:45
436,1421.0,0.1,56000,223696,2025-04-02 02:29:10
437,1144.0,0.1,56128,224216,2025-04-02 02:29:19
438,656.0,0.1,56256,224500,2025-04-02 02:29:25
439,1254.0,0.1,56384,225088,2025-04-02 02:29:36
440,298.0,0.1,56384,225204,2025-04-02 02:29:38
441,2059.0,0.1,56576,226012,2025-04-02 02:29:53
